group,scdiv_coarse,scdiv_fine,scdiv_leiden,scdiv_singleton,day
embryo_65,1.5452611453213874,1.6791862651071228,1.6402064108641088,4.364565696451142,E17.0
embryo_68,1.5060330871555454,1.6440416755091067,1.5826394881697492,4.335137792227503,E17.75
embryo_66,1.5533110262327563,1.6916717303035484,1.6368365977906583,4.077023663501091,E17.25
embryo_67,1.530874555052141,1.6761328147039873,1.6205900248713099,4.3860339467393485,E17.5
embryo_73,1.5393561212702809,1.6995525971054208,1.5965611620159403,4.423543355583084,P0
embryo_74,1.4815733359258827,1.6227106877420048,1.5363761542134724,5.019675399274233,P0
embryo_61,1.5433607244154595,1.6520109760779897,1.6424475356548593,4.114433861350727,E16.0
embryo_62,1.5581876855879084,1.6693333173973282,1.657694904096584,4.4820994247463375,E16.25
embryo_63,1.5213590034673314,1.6317144371575516,1.614644010424078,4.681604674070255,E16.5
embryo_64,1.523721148330953,1.6569247519069896,1.6188797242758068,4.880213920179272,E16.75
embryo_69,1.5346093933679992,1.699429739867887,1.6228184075595866,4.551514918357479,E18.0
embryo_70,1.5494835377975649,1.7095596870797474,1.6093437119990706,4.75930232684544,E18.25
embryo_71,1.5048539324535788,1.670941032206134,1.5812364692934104,4.89576707420754,E18.5
embryo_72,1.5624873152944225,1.73458599876475,1.633685370342335,5.060619563351694,E18.75
